編號	題名	型式	朝代	作者	內容
1	桂源鋪	詩	宋	楊萬里	萬山不許一溪奔，攔得溪聲日夜喧。 到得前頭山腳盡，堂堂溪水出前村。
2	偈	詩	宋	方會禪師	心隨萬境轉，轉處實能幽。隨流認得性，無喜亦無憂。
3	飲馬長城窟	詩	漢	蔡邕	青青河畔草，綿綿思遠道。遠道不可思，夙昔夢見之。夢見在我旁，忽覺在他鄉。他鄉各異縣，展轉不可見。枯桑知天風，海水知天寒。入門各自媚，誰肯相為言。客從遠方來，遺我雙鯉魚。呼童烹鯉魚，中有尺素書。長跪讀素書，書中竟何如。上有加餐食，下有長相憶。
4	臨江仙		宋	蘇軾	夜飲東坡醒復醉，歸來彷彿三更。家童鼻息已雷鳴，敲門都不應，欹杖聽江聲。長恨此身非我有，何時忘卻營營？夜闌，風靜，轂紋平：小舟從此逝，江海寄餘生。
5	*		現代	李叔同	五陵裘馬最豪華，看盡長安陌上花。歌舞霎時齊放手，一枝禪杖一袈裟。
6	三國演義		明	羅貫中	滾滾長江東逝水，浪花淘盡英雄。是非成敗轉頭空，青山依舊在，幾度夕陽紅。白髮漁樵江渚上，慣看秋月春風，一斛濁酒喜相逢，古今多少事，都付笑談中。
7	青青河畔草		東周	不詳	青青河畔草，鬱鬱園中柳。盈盈樓上女，皎皎當窗牖。娥娥紅粉妝，纖纖出素手。昔為倡家女，今為蕩子婦。蕩子行不歸，空床難獨守。
8	生年不滿百		東周	不詳	生年不滿百，常懷千歲憂。晝短苦夜長，何不秉燭遊？為樂當及時，何能待來茲？愚者愛惜費，但為後世嗤。仙人王子喬，難可與等期。
9	節婦吟		唐	張籍	君知妾有夫，贈妾雙明珠。感君纏綿意，繫在紅羅襦。妾家高樓連苑起，良人執戟光明裏。知君用心如日月，事夫誓擬同生死。還君明珠雙淚垂，恨不相逢未嫁時。
10	訣別詩		宋	蘇軾	聖主如天萬物春，小臣愚暗自亡身。百年未了須還債，十口無家更累人。是處青山可埋骨，他時夜雨獨傷神。與君世世為兄弟，更結來生未了因。
11	憶秦娥		唐	李白	簫聲咽，秦娥望斷秦樓月，秦樓月，年年柳色，灞陵傷別。樂遊原上清秋節，咸陽古道音塵絕。音塵絕，西風殘照，漢家陵闕。
12	鵲橋仙		宋	秦觀	纖雲弄巧，飛星傳恨，銀漢迢迢暗度。金風玉露一相逢，便勝卻人間無數。柔情似水，佳期如夢，忍顧鵲橋歸路。兩情若是久長時，又豈在朝朝暮暮。
13	詠鵝		唐	駱賓王	鵝，鵝，鵝，曲項向天歌。白毛鳧綠水，紅掌撥清波。
14	七步詩		三國	曹植	煮豆燃豆萁，豆在釜中泣。本是同根生，相煎何太急？
15	陋室銘		唐	劉禹錫	山不在高，有仙則名。水不在深，有龍則靈。斯是陋室，惟吾德馨。苔痕上階綠，草色入簾青。談笑有鴻儒，往來無白丁。可以調素琴，閱金經。無絲竹之亂耳，無案牘之勞形。南陽諸葛廬，西蜀子雲亭，孔子云：何陋之有？
16	摸魚兒		金	元好問	問人間，情是何物，直教生死相許？天南地北雙飛客，老翅幾回寒暑。歡樂趣，離別苦，是中更有癡兒女。君應有語，渺萬里層雲，千山暮雪，隻影為誰去？橫汾路，寂寞當年簫鼓。荒煙依舊平楚，招魂楚些何嗟及？山鬼自啼風雨，天也妒，未信與，鶯兒燕子俱黃土。千秋萬古，為留待騷人，狂歌痛飲，來訪邱處。
17	座右銘		不詳	崔瑗	無道人之短，無說己之長。施人慎勿念，受施慎勿忘。世譽不足慕，惟仁惟紀綱。隱心而後動，謗議庸何傷。無使名過實，守愚聖所臧。在涅貴不緇，曖曖內含光。柔弱生之徒，老氏誡剛強。行行鄙夫志，悠悠故難量。慎言節飲食，知足勝不祥。行之苟有恒，久久自芬芳。
18	卜算子	詞 歌詞	宋	李之儀;鄧麗君 唱	我住長江頭，君住長江尾。日日思君不見君，共飲長江水。此水幾時休？此恨何時已？只願君心似我心，定不負相思意。
19	醉花陰		宋	李清照	薄霧濃雲愁永晝，瑞腦消金獸。佳節又重陽，玉枕紗幮，半夜涼初透。東籬把酒黃昏後，有暗香盈袖，莫道不消魂，簾捲西風，人比黃花瘦。
20	菩薩蠻		唐	溫庭筠	小山重疊金明滅，鬢雲欲度香腮雪。懶起畫蛾眉，弄妝梳洗遲。照花前後鏡，花面交相映。新貼繡羅襦，雙雙金鷓鴣。
21	武陵春		宋	李清照	風住塵香花已盡，日晚倦梳頭。物是人非事事休，欲語淚先流。聞說雙溪春尚好，也擬泛輕舟。只恐雙溪舴艋舟，載不動許多愁。
22	菩薩蠻		五代	李煜	花明月暗飛輕霧，今宵好向郎邊去。□襪步香階，手提金縷鞋。畫堂南畔見，一晌偎人顫。奴為出來難，教君恣意憐。
23	鷓鴣天		宋	晏幾道	彩袖殷勤捧玉鍾，當年拚卻醉顏紅，舞低楊柳樓心月，歌盡桃花扇底風。從別後，憶相逢，幾回魂夢與君同。今宵賸把銀釭照，猶恐相逢是夢中。
24	夢江南		唐	溫庭筠	千萬恨，恨極在天涯。山月不知心裏事，水風空落眼前花，搖曳碧雲斜。
25	賀聖朝		宋	葉清臣	滿斟綠醑留君住，莫匆匆歸去。三分春色二分愁，更一分風雨。花開花謝，都來幾許？且高歌休訴。不知來歲牡丹時，再相逢何處？
26	鳳凰臺上憶吹簫		宋	李清照	香冷金猊，被翻紅浪，起來慵自梳頭。任寶奩塵滿，日上簾釣。生怕離懷別苦，多少事，欲說還休。新來廋，非干病酒，不是悲秋。休休。者回去也，千萬遍陽關，也則難留。念武陵人遠，煙鎖秦樓。惟有樓前流水，應念我，終日凝眸。凝眸處，從今又添，一段新愁。
27	河東獅		宋	蘇軾	東坡先生無一錢，十年家火燒丹鉛。黃金可成河可塞，只有雙鬢無由玄。龍丘居士亦可憐，談空說有夜不眠。忽聞河東獅子吼，拄杖落手心茫然。
28	*		清	左宗棠	千里來書為一牆，讓他三尺又何妨？長城萬里今猶在，不見當年秦始皇。
29	飲酒詩 (其一)		東晉	陶淵明	結廬在人境，而無車馬喧。問君何能爾，心遠地自偏。採菊東籬下，悠然見南山。山氣日夕佳，飛鳥相與還。此中有真意，欲辯已忘言。
30	*		東晉	陶淵明	清晨聞叩門，倒裳往自開。問子為誰與，田父有好懷。壺漿遠見候，疑我與時乖。襤縷茅簷下，未足為高栖。一世皆尚同，願君汨其泥。深感父老言，稟氣寡所諧。紆轡誠可喜，違已詎非迷。且共歡此飲，吾駕不可回。
31	舊夢		現代	胡適	山下綠叢中，瞥見飛簷一角，驚起當年舊夢，淚向心頭落。隔山遙唱舊時歌，聲苦沒人懂。我不是高歌，只是重溫舊夢。
32	*		現代	李叔同	君子之交，其淡如水， 執象而求，咫尺千里。
33	*		現代	李叔同	問余何適？廓爾忘言。華枝春滿，天心月圓。
34	*		現代	王光祈	千戴憂難已，深宵劍自鳴。直行終有路，何必計枯榮。
35	生查子		三國	牛希濟	春山煙欲收，天淡稀星小，殘月臉邊明，別淚臨清曉。語已多，情未了，回首猶重道：記得綠羅裙，處處憐芳草。
36	行行重行行		東周	不詳	行行重行行，與君生別離。相去萬餘里，各在天一涯。道路阻且長，會面安可知？胡馬依北風，越鳥巢南枝。相去日已遠，衣帶日已緩。浮雲蔽白日，遊子不顧返。思君令人老，歲月忽已晚。棄捐勿復道，努力加餐飯。
37	青青陵上柏		東周	不詳	青青陵上柏，磊磊澗中石。人生天地間，忽如遠行客。斗酒相娛樂，聊厚不為薄。驅車策駑馬，遊戲宛與洛。洛中何鬱鬱，冠帶自相索。長衢羅夾巷，王侯多第宅。兩宮遙相望，雙闕百餘尺。極宴娛心意，戚戚何所迫。
38	今日良宴會		東周	不詳	今日良宴會，歡樂難具陳。彈箏奮逸響，新聲妙入神。令德唱高言，識曲聽其真。齊心同所願，含意俱未伸。人生寄一世，奄忽若飆塵。何不策高足，先據要路津。無為守窮賤，轗軻長苦辛。
39	西北有高樓		東周	不詳	西北有高樓，上與浮雲齊。交疏結綺窗，阿閣三重階。上有絃歌聲，音響一何悲！誰能為此曲，無乃杞梁妻！清商隨風發，中曲正徘徊。一彈再三歎，慷慨有餘哀。不惜歌者苦，但傷知音稀！願為雙鳴鶴，奮翅起高飛。
40	步江采芙蓉		東周	不詳	涉江采芙蓉，蘭澤多芳草。采之欲遺誰，所思在遠道。還顧望舊鄉，長路漫浩浩。同心而離居，憂傷以終老。
41	明月皎夜光		東周	不詳	明月皎夜光，促織鳴東壁。玉衡指孟冬，眾星何歷歷？白露霑野草，時節忽復易。秋蟬鳴樹間，玄鳥逝安適？昔我同門友，高舉振六翮。不念攜手好，棄我如遺跡。南箕北有斗，牽牛不負軛。良無盤石固，虛名復何益？
42	冉冉孤生竹		東周	不詳	冉冉孤生竹，結根泰山阿。與君為新婚，兔絲附女蘿。兔絲生有時，夫婦會有宜。千里遠結婚，悠悠隔山坡。思君令人老，軒車來何遲？傷彼蕙蘭花，含莫揚光輝。過時而不采，將隨秋草萎。君亮執高節，賤妾亦何為？
43	庭中有奇樹		東周	不詳	庭中有奇樹，綠葉發華滋。攀條折其榮，將以遺所思。馨香盈懷袖，路遠莫致之。此物何足貴，但感別經時。
44	迢迢牽牛星		東周	不詳	迢迢牽牛星，皎皎河漢女。纖纖擢素手，札札弄機杼。終日不成章，泣涕零如雨。河漢清且淺，相去復幾許？盈盈一水間，脈脈不得語。
45	迴車駕言邁		東周	不詳	迴車駕言邁，悠悠涉長道。四顧何茫茫，東風搖百草。所遇無故物，焉得不速老？盛衰各有時，立身苦不早。人生非金石，豈能長壽考？奄忽隨物化，榮名以為寶。
46	東城高且長		東周	不詳	東城高且長，逶迤自相屬。迴風動地起，秋草萋已綠。四時更變化，歲暮一何速！晨風懷苦心，蟋蟀傷局促。蕩滌放情志，何為自結束？燕趙多佳人，美者顏如玉。被服羅裳衣，當戶理清曲。音響一何悲，絃急知柱促。馳情整中帶，沈吟聊躑躅。思為雙飛燕，銜泥巢君屋。
47	驅車上東門		東周	不詳	驅車上東門，遙望郭北墓。白楊何蕭蕭！松柏夾廣路。下有陳死人，杳杳即長暮。潛寐黃泉下，千載永不寤。浩浩陰陽移，年命如朝露。人生忽如寄，壽無金石固。萬歲更相送，聖賢莫能度。服食求神仙，多為藥所誤。不如飲美酒，被服紈與素。
48	去者日以疏		東周	不詳	去者日以疏，來者日以親。出郭門直視，但見丘與墳。古墓犁為田，松柏摧為薪。白楊多悲風，蕭蕭愁殺人。思還故里閭，欲歸道無因。
49	凜凜歲云暮		東周	不詳	凜凜歲云暮，螻蛄夕鳴悲。涼風率已厲，遊子寒無衣。錦衾遺洛浦，同袍與我違。獨宿累長夜，夢想見容輝。良人惟古歡，枉駕惠前綏。願得常巧笑，攜手同車歸。既來不須臾，又不處重闈。亮無晨風翼，焉能凌風飛？眄睞以適意，引領遙相睎。徙倚懷感傷，垂涕霑雙扉。
50	孟冬寒氣至		東周	不詳	孟冬寒氣至，北風何慘慄！愁多知夜長，仰視眾列星。三五明月滿，四五詹兔缺。客從遠方來，遺我一書札：上言長相思，下言久別離。置書懷袖中，三年字不滅。一心抱區區，懼君不識察。
51	客從遠方來		東周	不詳	客從遠方來，遺我一端綺。相去萬餘里，故人心尚爾。文彩雙鴛鴦，裁為合歡被。著以長相思，緣以結不解。以膠投漆中，誰能別離此。
52	明月何皎皎		東周	不詳	明月何皎皎，照我羅床幃。憂愁不能寐，攬衣起徘徊。客行雖云樂，不如早旋歸！出戶獨彷徨，愁思當告誰？引領還入房，淚下沾裳衣。
53	踏莎行		宋	歐陽修	候館梅殘，溪橋柳細，草薰風暖搖征轡。離愁漸遠漸無窮，迢迢不斷如春水。寸寸柔腸，盈盈粉淚，樓高莫近危闌倚。平蕪盡處是春山，行人更在春山外。
54	摸魚兒		宋	辛棄疾	更能消，幾番風雨，匆匆春又歸去。惜春長怕花開早，何況落紅無數。春且住！見說道：天涯芳草無歸路。怨春不語，算只有殷勤，畫簷蛛網，盡日惹飛絮。長門事，準擬佳期又誤。蛾眉曾有人妒。千金縱買相如賦，脈脈此情誰訴？君莫舞，君不見：玉環飛燕皆塵土。閒愁最苦，休去倚危闌，斜陽正在，煙柳斷腸處。
55	釵頭鳳	詞	宋	陸游;包美聖 唱	紅酥手，黃籐酒，滿城春色宮牆柳，東風惡，歡情薄，一懷愁緒，幾年離索，錯！錯！錯！春如舊，人空瘦，淚痕紅浥蛟綃透，桃花落，閒池閣，山盟雖在，錦書難託，莫！莫！莫！
56	感皇恩 (入京)		宋	趙企	騎馬踏紅塵，長安重到。人面依然似花好。舊歡才展，又被新愁分了。未成雲雨夢，巫一曉。千里斷腸，關山古道。回首高城似天杳。滿懷離恨，付與落花嘀鳥。故人何處也？青春老。
57	女冠子		三國	韋莊	四月十七，正是去年今日，別君時。忍淚佯低面，含羞半斂眉。不知魂已斷，空有夢相隨。除卻天邊月，沒人知。
58	踏莎行		宋	秦觀	霧伕樓台，月迷津渡，桃源望斷無尋處。可堪孤館閉春寒，杜鵑聲裏斜陽暮。驛寄梅花，魚傳尺素，砌成此無重數。郴江幸自繞郴山，為誰流下瀟湘去？
59	臨江仙		五代	馮延巳	冷紅飄起桃花片，青春意緒闌珊。畫樓簾幕捲春寒。酒餘人散後，獨自倚闌干。夕陽千里連芳草，萋萋愁煞王孫。徘徊飛盡碧天雲。鳳笙何處？明月照黃昏。
60	八聲甘州		宋	柳永	對瀟瀟暮雨灑江天，一番洗清秋。漸霜風淒緊，關河冷落，殘照當樓。是處紅衰綠減，苒苒物華休。惟有長江水，無語東流。不忍登高臨遠，望故鄉渺邈，歸思難收。歎年來蹤跡，何事苦淹留？想佳人，妝樓顒望，誤幾回，天際識歸舟？爭知我，倚闌干處，正恁凝愁？
61	蝶戀花		宋	晏幾道	醉別西樓醒不記，春夢秋雲，聚散真容易。斜月半窗還少睡，畫屏閒展吳山翠。衣上酒痕詩裏字，點點行行，總是淒涼意。紅燭自憐無好計，夜寒空替人垂淚。
62	西江月		宋	司馬光	寶髻鬆鬆挽就，鉛華淡淡妝成。紅煙翠霧罩輕盈，飛絮游思無定。相見爭如不見？有情還似無情。笙歌散後酒微醒，深院月明人靜。
63	天仙子		宋	張先	水調數聲持酒聽，午醉醒來愁未醒。送春春去幾時回？臨晚鏡，傷流景，往事後期空記省。沙上並禽池上瞑，雲破月來花弄影。重重簾幕密遮燈。風不定，人初靜，明日落紅應滿徑。
64	添字采桑子 (芭蕉)		宋	李清照	窗前誰種芭蕉樹，陰滿中庭，陰滿中庭。葉葉心心，舒卷有餘情。傷心枕上三更雨。點滴霖霪，點滴霖霪。愁損北人，不慣起來聽。
65	章臺柳		唐	韓翃	章臺柳！章臺柳！昔日青青今在否？縱使長條似舊垂，亦應攀折他人手。
66	長相思		唐	白居易	汴水流，泗水流。流到瓜州古渡頭，吳山點點愁。思悠悠，恨悠悠。恨到歸時方始休，月明人倚樓。
67	御街行 (離懷)		宋	范仲淹	紛紛墜葉飄香砌，夜寂靜，寒聲碎。真珠簾玉樓空，天淡銀河垂地。年年今夜，月華如練，長是人千里。愁腸已斷無由醉。酒未到，先成淚。殘嬁明滅枕頭攲，諳盡孤眠滋。都來此事，眉間心上，無計相迴避。
68	歸國遙		唐	馮延巳	江水碧，江上何人吹玉笛？扁舟遠送瀟湘客。蘆花千里霜月白。傷行色，來朝便是關山隔。
69	蝶戀花		宋	柳永	佇倚危樓風細細。望極清愁，黯黯生天際。草色煙光殘照裏，無言誰會憑闌意。擬把疏狂圖一醉。對酒當歌，強樂還無味。衣帶漸寬終不悔，為伊消得人憔悴。
70	臨江仙		宋	晏幾道	夢後樓臺高鎖，酒醒簾幕低垂。去年春恨來時。落花人獨立，微雨燕雙飛。記得小蘋初見，兩重心字羅衣。琵琶絃上說相思。當時明月在，曾照彩雲歸。
71	夜游宮		宋	周邦彥	葉下斜陽照水，捲輕浪，沉沉千里。橋上酸風射眸子。立多時，看黃昏，燈火市。古屋寒窗底，聽幾片，井梧飛墜。不戀單衾再三起。有誰知？為蕭娘，書一紙。
72	青玉案		宋	賀鑄	凌波不過橫塘路，但目送，芳塵去。錦瑟華年誰與度？月臺花榭，綺窗朱戶，唯有春知處。碧雲冉冉蘅皋暮，綵筆空題斷腸句。試問閑愁都幾許？一川煙草，滿城風絮，梅子黃時雨。
73	渡江雲		宋	張炎	山空天入海，倚樓望極，風急暮潮初。一簾鳩外雨，幾處閒田，隔水動春鋤。新煙禁柳，想如今，綠到西湖。猶記得，當年深隱，門掩兩三株。愁予，荒城古漵，斷梗疏萍，更漂流何處？空自覺，圍羞帶減，影怯燈孤。常疑即見桃花面，甚近來，翻笑無書。書縱遠，如何夢也都無？
74	點絳脣 (閨情)		元	曾允元	一夜東風，枕邊吹散愁多少？數聲啼鳥，夢轉紗窗曉。來是春初，去是春將老。長亭道，一般芳草，只有歸時好。
75	菩薩蠻		唐	李白	平林漠漠煙如織，寒山一帶傷心碧。暝色入高樓，有人樓上愁。玉階空佇立，宿鳥歸飛急。何處是歸程？長亭更短亭。
76	攤破浣溪沙		五代	李璟	菡萏香消翠葉殘，西風愁起綠波間。還與韶光共憔悴，不堪看。細雨夢回雞塞遠，小樓吹徹玉笙寒。多少淚珠何限恨，倚闌干。
77	采桑子		五代	馮延巳	花前失卻遊春侶，獨自尋芳，滿目悲涼。縱有笙歌亦斷腸。林間戲蠂簾間燕，各自雙雙。忍更思量，綠樹青苔半夕陽。
78	烏夜啼	詞 歌詞	五代	李煜;鄧麗君 唱	林花謝了春紅，太匆匆，無奈朝來寒雨晚來風。胭脂淚，相留醉，幾時重？自是人生長恨水長東。無言獨上西樓，月如鉤，寂寞梧桐深院鎖清秋。剪不斷，理還亂，是離愁，別是一番滋味在心頭。
79	蠂戀花		五代	李煜	遙夜亭皋閒信步。纔過清明，早覺傷春暮。數點雨聲風約住，朦朧淡月雲來去。桃李依依春暗度。誰在秋千，笑裏低低語。一片芳心千萬緒，人間沒箇安排處。
80	虞美人	詞 歌詞	五代	李煜;鄧麗君 唱	春花秋月何時了，往事知多少？小樓昨夜又東風，故國不堪回首月明中。雕欄玉砌應猶在，只是朱顏改。問君能有幾多愁？恰似一江春水向東流。
81	浣溪沙		宋	晏殊	一向年光有限身，等閒離別易銷魂，酒筵歌席莫辭頻。滿目山河空念遠，落花風雨更傷春，不如憐取眼前人。
82	漁家傲		宋	范仲淹	塞下秋來風景異，衡陽雁去無留意。四面邊聲連角起，千嶂裏，長煙落日孤城閉。濁酒一杯家萬里，燕然未勒歸無計。羌管悠悠霜滿地，人不寐，將軍白髮征夫淚。
83	浪淘沙		五代	李煜	簾外雨潺潺，春意闌珊，羅衾不耐五更寒。夢裏不知身是客，一餉貪歡。獨自莫憑欄，無限江山，別時容易見時難。流水落花春去也，天上人間。
84	浣溪沙 (春恨)		宋	晏殊	一曲新詞酒一杯，去年天氣舊亭臺。夕陽西下幾時回，無可奈何花落去。似曾相識燕歸來，小園香徑獨徘徊。
85	蠂戀花		宋	歐陽修	庭院深深深幾許，楊柳堆煙，簾幕無重數。玉勒雕鞍遊冶處，樓高不見章臺路。雨橫風狂三月暮，門掩黃昏，無計留春住。淚眼問花花不語，亂紅飛過鞦韆去。
86	鶴沖天		宋	柳永	黃金榜上，偶失龍頭望。明代暫遺賢，如何向？未遂風雲便，爭不恣遊狂蕩？何須論得喪？才子詞人，自是白衣卿相。煙花巷陌，依約丹青屏障。幸有意中人，堪尋訪。且恁偎紅倚翠，風流事，平生暢。青春都一餉，忍把浮名，換了淺斟低唱。
87	相見歡		宋	朱敦儒	金陵城上西樓，倚清秋。萬里夕陽垂地，大江流。中原亂，簪纓散，幾時收？試倩悲風吹淚，過揚州
88	醜奴兒		宋	辛棄疾	近來愁似天來大，誰解相憐？誰解相憐？又把愁來做個天。都將今古無窮事，放在愁邊。放在愁邊，卻自移家向酒泉。
89	虞美人 (聽雨)		宋	蔣捷	少年聽雨歌樓上，紅燭昏羅帳。壯年聽雨客舟中，江闊雲低，斷雁叫西風。而今聽雨僧廬下，鬢已星星也。悲歡離合總無情，一任階前，點滴到天明。
90	一翦梅(春思)		宋	蔣捷	一片春愁帶酒澆。江上舟搖，樓上帘招。秋娘容與泰娘嬌。風又飄飄，雨又瀟瀟。何日雲帆卸浦橋？銀字笙調，心字香燒。流光容易把人拋。紅了櫻桃，綠了芭蕉。
91	浣溪沙 (聽歌有感)		清	況周頤	措起殘紅淚滿衣，他生莫作有情癡。人天無地著相思，花再開非故樹，雲能暫駐亦哀絲，不成消遣祗成悲。
92	念奴嬌(赤壁懷古)		宋	蘇軾	大江東去，浪淘盡，千古風流人物。故壘西邊，人道是，三國周郎赤壁。亂石崩雲，驚濤裂岸，捲起千堆雪。江山如畫，一時多少豪傑。遙想公瑾當年，小喬初嫁了，雄姿英發，羽扇綸巾，談笑間，強虜灰飛煙滅。故國神遊，多情應笑我，早生華髮。人生如夢，一尊還酹江月。
93	卜算子(詠梅)		宋	陸游	驛外斷橋邊，寂寞開無主，已是黃昏獨自愁，更著風和雨。無意苦爭春，一任群芳妒，零落成泥碾作塵，只有香如故。
94	長相思		清	納蘭性德	山一程，水一程。身向榆關那畔行，夜深千帳鐙。風一更，雪一更。聒碎鄉心夢不成，故園無此聲。
